qx,alpha,f(alpha),R2alpha,R2 f(alpha),B1 error alpha,B1 error f(alpha),Tau,Dq,ErrorDq,D012
-5.000,2.0181,1.9300,0.9810,0.9984,0.5042,0.1493,-12.0205,2.0034,0.2303,1.9990,
-4.900,2.0171,1.9350,0.9837,0.9986,0.4674,0.1418,-11.8186,2.0032,0.2176,1.9990,
-4.800,2.0161,1.9400,0.9861,0.9987,0.4325,0.1346,-11.6171,2.0030,0.2053,1.9976,
-4.700,2.0151,1.9440,0.9881,0.9989,0.3994,0.1277,-11.4150,2.0026,0.1935,
-4.600,2.0142,1.9480,0.9900,0.9990,0.3682,0.1210,-11.2132,2.0024,0.1821,
-4.500,2.0133,1.9530,0.9915,0.9991,0.3389,0.1145,-11.0128,2.0023,0.1712,
-4.400,2.0124,1.9560,0.9929,0.9992,0.3113,0.1083,-10.8107,2.0020,0.1607,
-4.300,2.0116,1.9600,0.9940,0.9993,0.2854,0.1023,-10.6099,2.0019,0.1507,
-4.200,2.0108,1.9630,0.9950,0.9993,0.2612,0.0967,-10.4085,2.0016,0.1411,
-4.100,2.0101,1.9660,0.9958,0.9994,0.2385,0.0912,-10.2073,2.0014,0.1320,
-4.000,2.0094,1.9690,0.9965,0.9995,0.2175,0.0860,-10.0065,2.0013,0.1233,
-3.900,2.0087,1.9720,0.9971,0.9995,0.1979,0.0810,-9.8059,2.0012,0.1150,
-3.800,2.0080,1.9740,0.9977,0.9996,0.1796,0.0763,-9.6045,2.0009,0.1071,
-3.700,2.0074,1.9770,0.9981,0.9996,0.1628,0.0718,-9.4044,2.0009,0.0996,
-3.600,2.0068,1.9790,0.9984,0.9997,0.1471,0.0675,-9.2036,2.0008,0.0926,
-3.500,2.0063,1.9810,0.9987,0.9997,0.1327,0.0635,-9.0030,2.0007,0.0859,
-3.400,2.0058,1.9830,0.9990,0.9997,0.1194,0.0596,-8.8026,2.0006,0.0795,
-3.300,2.0053,1.9840,0.9992,0.9998,0.1072,0.0560,-8.6013,2.0003,0.0735,
-3.200,2.0048,1.9860,0.9993,0.9998,0.0960,0.0525,-8.4013,2.0003,0.0679,
-3.100,2.0043,1.9870,0.9995,0.9998,0.0857,0.0492,-8.2005,2.0001,0.0625,
-3.000,2.0039,1.9890,0.9996,0.9998,0.0763,0.0461,-8.0008,2.0002,0.0575,
-2.900,2.0035,1.9900,0.9997,0.9999,0.0677,0.0432,-7.8002,2.0001,0.0528,
-2.800,2.0032,1.9910,0.9997,0.9999,0.0598,0.0405,-7.5999,2.0000,0.0483,
-2.700,2.0028,1.9920,0.9998,0.9999,0.0527,0.0379,-7.3996,1.9999,0.0441,
-2.600,2.0025,1.9930,0.9998,0.9999,0.0463,0.0354,-7.1995,1.9999,0.0401,
-2.500,2.0022,1.9930,0.9999,0.9999,0.0403,0.0331,-6.9985,1.9996,0.0364,
-2.400,2.0019,1.9940,0.9999,0.9999,0.0351,0.0310,-6.7985,1.9996,0.0329,
-2.300,2.0016,1.9950,0.9999,0.9999,0.0303,0.0289,-6.5987,1.9996,0.0296,
-2.200,2.0014,1.9950,1.0000,0.9999,0.0259,0.0270,-6.3980,1.9994,0.0265,
-2.100,2.0011,1.9960,1.0000,1.0000,0.0222,0.0252,-6.1984,1.9995,0.0236,
-2.000,2.0009,1.9960,1.0000,1.0000,0.0186,0.0235,-5.9978,1.9993,0.0208,
-1.900,2.0007,1.9970,1.0000,1.0000,0.0157,0.0220,-5.7983,1.9994,0.0183,
-1.800,2.0005,1.9970,1.0000,1.0000,0.0128,0.0205,-5.5979,1.9993,0.0158,
-1.700,2.0003,1.9970,1.0000,1.0000,0.0103,0.0191,-5.3976,1.9991,0.0134,
-1.600,2.0002,1.9980,1.0000,1.0000,0.0085,0.0178,-5.1983,1.9993,0.0115,
-1.500,2.0000,1.9980,1.0000,1.0000,0.0065,0.0165,-4.9980,1.9992,0.0094,
-1.400,1.9999,1.9980,1.0000,1.0000,0.0048,0.0154,-4.7978,1.9991,0.0073,
-1.300,1.9997,1.9980,1.0000,1.0000,0.0033,0.0143,-4.5977,1.9990,0.0053,
-1.200,1.9996,1.9980,1.0000,1.0000,0.0019,0.0133,-4.3975,1.9989,0.0034,
-1.100,1.9995,1.9980,1.0000,1.0000,0.0008,0.0124,-4.1974,1.9988,0.0015,
-1.000,1.9994,1.9990,1.0000,1.0000,0.0024,0.0115,-3.9984,1.9992,0.0040,
-0.900,1.9993,1.9990,1.0000,1.0000,0.0023,0.0107,-3.7984,1.9991,0.0038,
-0.800,1.9992,1.9990,1.0000,1.0000,0.0025,0.0099,-3.5984,1.9991,0.0040,
-0.700,1.9991,1.9990,1.0000,1.0000,0.0027,0.0092,-3.3984,1.9990,0.0042,
-0.600,1.9990,1.9990,1.0000,1.0000,0.0030,0.0085,-3.1984,1.9990,0.0045,
-0.500,1.9990,1.9990,1.0000,1.0000,0.0033,0.0079,-2.9985,1.9990,0.0046,
-0.400,1.9989,1.9990,1.0000,1.0000,0.0035,0.0073,-2.7986,1.9990,0.0047,
-0.300,1.9988,1.9990,1.0000,1.0000,0.0036,0.0067,-2.5986,1.9990,0.0047,
-0.200,1.9988,1.9990,1.0000,1.0000,0.0037,0.0062,-2.3988,1.9990,0.0047,
-0.100,1.9987,1.9990,1.0000,1.0000,0.0038,0.0057,-2.1989,1.9990,0.0046,
0.000,1.9987,1.9990,1.0000,1.0000,0.0038,0.0053,-1.9990,1.9990,0.0044,
0.100,1.9986,1.9990,1.0000,1.0000,0.0038,0.0049,-1.7991,1.9990,0.0043,
0.200,1.9986,1.9990,1.0000,1.0000,0.0037,0.0045,-1.5993,1.9991,0.0041,
0.300,1.9985,1.9990,1.0000,1.0000,0.0037,0.0041,-1.3994,1.9992,0.0039,
0.400,1.9985,1.9990,1.0000,1.0000,0.0036,0.0038,-1.1996,1.9993,0.0037,
0.500,1.9985,1.9990,1.0000,1.0000,0.0034,0.0035,-0.9998,1.9995,0.0035,
0.600,1.9985,1.9990,1.0000,1.0000,0.0033,0.0032,-0.7999,1.9998,0.0032,
0.700,1.9984,1.9990,1.0000,1.0000,0.0032,0.0029,-0.6001,2.0003,0.0030,
0.800,1.9984,1.9990,1.0000,1.0000,0.0030,0.0026,-0.4003,2.0013,0.0028,
0.900,1.9984,1.9990,1.0000,1.0000,0.0029,0.0024,-0.2004,2.0044,0.0026,
1.000,1.9984,1.9990,1.0000,1.0000,0.0027,0.0022,-0.0006,1.9990,0.0022,
1.100,1.9984,1.9990,1.0000,1.0000,0.0026,0.0020,0.1992,1.9920,0.0022,
1.200,1.9984,1.9990,1.0000,1.0000,0.0025,0.0018,0.3990,1.9951,0.0021,
1.300,1.9983,1.9990,1.0000,1.0000,0.0023,0.0016,0.5988,1.9961,0.0019,
1.400,1.9983,1.9990,1.0000,1.0000,0.0022,0.0014,0.7987,1.9967,0.0017,
1.500,1.9983,1.9990,1.0000,1.0000,0.0021,0.0013,0.9985,1.9970,0.0016,
1.600,1.9983,1.9990,1.0000,1.0000,0.0020,0.0011,1.1983,1.9972,0.0015,
1.700,1.9983,1.9990,1.0000,1.0000,0.0020,0.0010,1.3981,1.9973,0.0013,
1.800,1.9983,1.9990,1.0000,1.0000,0.0019,0.0009,1.5979,1.9974,0.0012,
1.900,1.9983,1.9990,1.0000,1.0000,0.0019,0.0008,1.7978,1.9975,0.0011,
2.000,1.9983,1.9990,1.0000,1.0000,0.0019,0.0006,1.9976,1.9976,0.0010,
2.100,1.9983,1.9990,1.0000,1.0000,0.0019,0.0005,2.1974,1.9977,0.0008,
2.200,1.9983,1.9990,1.0000,1.0000,0.0020,0.0004,2.3973,1.9977,0.0007,
2.300,1.9983,1.9990,1.0000,1.0000,0.0020,0.0004,2.5971,1.9978,0.0006,
2.400,1.9983,1.9990,1.0000,1.0000,0.0021,0.0003,2.7969,1.9978,0.0005,
2.500,1.9983,1.9990,1.0000,1.0000,0.0022,0.0002,2.9968,1.9978,0.0004,
2.600,1.9983,1.9990,1.0000,1.0000,0.0022,0.0001,3.1966,1.9979,0.0003,
2.700,1.9983,1.9990,1.0000,1.0000,0.0023,0.0001,3.3964,1.9979,0.0001,
2.800,1.9983,1.9990,1.0000,1.0000,0.0024,0.0000,3.5963,1.9979,0.0000,
2.900,1.9983,1.9990,1.0000,1.0000,0.0025,0.0000,3.7961,1.9980,0.0001,
3.000,1.9983,1.9990,1.0000,1.0000,0.0025,0.0001,3.9960,1.9980,0.0002,
3.100,1.9983,1.9990,1.0000,1.0000,0.0026,0.0001,4.1958,1.9980,0.0003,
3.200,1.9983,1.9990,1.0000,1.0000,0.0027,0.0002,4.3957,1.9980,0.0003,
3.300,1.9983,1.9990,1.0000,1.0000,0.0028,0.0002,4.5955,1.9981,0.0004,
3.400,1.9984,1.9990,1.0000,1.0000,0.0028,0.0003,4.7954,1.9981,0.0005,
3.500,1.9984,1.9990,1.0000,1.0000,0.0029,0.0003,4.9953,1.9981,0.0005,
3.600,1.9984,1.9990,1.0000,1.0000,0.0030,0.0003,5.1951,1.9981,0.0006,
3.700,1.9984,1.9990,1.0000,1.0000,0.0030,0.0004,5.3950,1.9981,0.0006,
3.800,1.9984,1.9990,1.0000,1.0000,0.0031,0.0004,5.5949,1.9982,0.0007,
3.900,1.9984,1.9990,1.0000,1.0000,0.0031,0.0004,5.7947,1.9982,0.0007,
4.000,1.9984,1.9990,1.0000,1.0000,0.0032,0.0004,5.9946,1.9982,0.0008,
4.100,1.9984,1.9990,1.0000,1.0000,0.0032,0.0005,6.1945,1.9982,0.0008,
4.200,1.9984,1.9990,1.0000,1.0000,0.0033,0.0005,6.3944,1.9982,0.0008,
4.300,1.9984,1.9990,1.0000,1.0000,0.0033,0.0005,6.5942,1.9983,0.0009,
4.400,1.9984,1.9990,1.0000,1.0000,0.0034,0.0005,6.7941,1.9983,0.0009,
4.500,1.9984,1.9990,1.0000,1.0000,0.0034,0.0005,6.9940,1.9983,0.0009,
4.600,1.9985,1.9990,1.0000,1.0000,0.0035,0.0005,7.1939,1.9983,0.0009,
4.700,1.9985,1.9990,1.0000,1.0000,0.0035,0.0005,7.3938,1.9983,0.0009,
4.800,1.9985,1.9990,1.0000,1.0000,0.0035,0.0006,7.5937,1.9983,0.0010,
4.900,1.9985,1.9990,1.0000,1.0000,0.0036,0.0006,7.7936,1.9984,0.0010,
5.000,1.9985,2.0000,1.0000,1.0000,0.0045,0.0006,7.9925,1.9981,0.0010,
